decimal,viete,madhava
5,0.0007601666451,0.0005919837952
10,0.001288158894,0.001307063103
15,0.002050116062,0.001902475357
20,0.00263982296,0.002679748535
25,0.003091802597,0.003212277889
30,0.003819538355,0.003904948235
35,0.004442822933,0.004547913074
40,0.005081979036,0.005255579948
45,0.005706284046,0.005837199688
50,0.006370962858,0.006578524113
55,0.007020516396,0.007270073891
60,0.007723451853,0.008004565239
