decimals,viete,madhava
0,1.430511474609375e-05,3.814697265625e-05
0,1.430511474609375e-05,3.7670135498046875e-05
0,1.4066696166992188e-05,3.7670135498046875e-05
0,1.4066696166992188e-05,3.814697265625e-05
0,1.4066696166992188e-05,3.838539123535156e-05
5,0.0007054805755615234,0.0005457401275634766
5,0.0006763935089111328,0.000579833984375
5,0.0006721019744873047,0.0005300045013427734
5,0.0006685256958007812,0.0005288124084472656
5,0.0006699562072753906,0.0005624294281005859
5,0.0006983280181884766,0.0005261898040771484
5,0.0006690025329589844,0.0005259513854980469
5,0.0006971359252929688,0.0005254745483398438
5,0.0006630420684814453,0.0005342960357666016
5,0.0007870197296142578,0.0005331039428710938
5,0.0006825923919677734,0.0005273818969726562
5,0.0006635189056396484,0.0005261898040771484
5,0.0006656646728515625,0.0005564689636230469
5,0.0006644725799560547,0.0005273818969726562
5,0.0006985664367675781,0.0005259513854980469
5,0.0006992816925048828,0.0005269050598144531
5,0.0006673336029052734,0.0005283355712890625
5,0.0006878376007080078,0.0005381107330322266
5,0.0006930828094482422,0.00052642822265625
5,0.0006597042083740234,0.0005242824554443359
5,0.000659942626953125,0.0005602836608886719
5,0.0006587505340576172,0.0005192756652832031
5,0.0006582736968994141,0.0005230903625488281
5,0.0006814002990722656,0.0005304813385009766
5,0.0006613731384277344,0.0005202293395996094
5,0.0006854534149169922,0.0005257129669189453
5,0.0006785392761230469,0.0005249977111816406
5,0.0006647109985351562,0.0005257129669189453
5,0.0006666183471679688,0.0005211830139160156
5,0.0006690025329589844,0.0005233287811279297
5,0.0006587505340576172,0.0005185604095458984
5,0.0006644725799560547,0.0005333423614501953
5,0.0006649494171142578,0.0005195140838623047
5,0.0006587505340576172,0.0005209445953369141
5,0.0006632804870605469,0.0005333423614501953
5,0.0007987022399902344,0.0006093978881835938
5,0.0007050037384033203,0.0005209445953369141
5,0.000698089599609375,0.0005254745483398438
5,0.0006577968597412109,0.0005257129669189453
5,0.0006678104400634766,0.0005180835723876953
5,0.0006852149963378906,0.0005202293395996094
5,0.0006558895111083984,0.0005159378051757812
5,0.0006554126739501953,0.000545501708984375
5,0.0006544589996337891,0.0005168914794921875
5,0.0006566047668457031,0.0005140304565429688
5,0.0006515979766845703,0.0005419254302978516
5,0.0006506443023681641,0.0005159378051757812
5,0.0006763935089111328,0.0005693435668945312
5,0.0009906291961669922,0.0005931854248046875
5,0.0007147789001464844,0.0005655288696289062
5,0.0008292198181152344,0.0008924007415771484
5,0.0007786750793457031,0.0008611679077148438
5,0.0013725757598876953,0.0007562637329101562
5,0.0009543895721435547,0.0005667209625244141
5,0.0007791519165039062,0.0005717277526855469
5,0.0006580352783203125,0.0005159378051757812
5,0.0006732940673828125,0.0005826950073242188
5,0.0006766319274902344,0.0005147457122802734
5,0.0006499290466308594,0.0005154609680175781
5,0.0006482601165771484,0.0005712509155273438
5,0.0006511211395263672,0.000518798828125
5,0.0008096694946289062,0.0017898082733154297
5,0.0007281303405761719,0.0005908012390136719
5,0.0009276866912841797,0.0006210803985595703
5,0.0006949901580810547,0.0005371570587158203
5,0.0006475448608398438,0.0005130767822265625
5,0.0007319450378417969,0.0005156993865966797
5,0.0006554126739501953,0.0005176067352294922
5,0.0006871223449707031,0.0005114078521728516
5,0.0006830692291259766,0.0005152225494384766
5,0.0006482601165771484,0.00051116943359375
5,0.0006477832794189453,0.0005450248718261719
5,0.0006527900695800781,0.0005114078521728516
5,0.0006496906280517578,0.0006017684936523438
5,0.0008821487426757812,0.0005276203155517578
5,0.0013751983642578125,0.0007374286651611328
5,0.0007243156433105469,0.00055694580078125
5,0.0007004737854003906,0.0005536079406738281
5,0.0007274150848388672,0.0005655288696289062
5,0.0007011890411376953,0.0005536079406738281
5,0.0006704330444335938,0.0005142688751220703
5,0.0006496906280517578,0.0005457401275634766
5,0.0006496906280517578,0.0005121231079101562
