0,1
6.8,162.676
6.8,158.228
6.8,132.346
6.8,264.961
6.8,158.84
6.4,0.0
6.4,136.938
6.5,120.949
6.5,235.748
6.5,119.26
6.6,288.373
6.6,386.983
6.6,189.623
6.6,388.597
7.6,826.756
7.6,186.097
7.6,40.647
7.6,194.345
7.6,147.305
7.6,495.407
7.6,93.22
7.6,495.407
7.6,267.341
7.6,93.22
7.6,165.539
7.6,767.963
7.6,122.708
7.6,36.399
7.6,915.94
7.6,46.971
7.6,271.586
7.6,213.188
7.6,170.412
7.6,58.434
7.6,151.881
7.6,261.885
7.6,420.001
7.6,833.07
7.6,133.658
7.6,833.07
7.6,34.354
7.6,427.582
6.6,981.697
6.6,314.351
6.6,261.577
6.6,222.888
6.6,369.38
6.6,234.335
7.3,74.488
7.3,84.205
7.0,199.326
7.0,440.642
7.0,42.087
7.0,246.562
7.0,422.76
7.0,435.275
7.0,100.632
7.0,197.618
7.0,50.012
6.9,498.414
6.9,112.851
6.9,424.993
6.9,72.838
6.9,65.121
6.9,460.355
6.9,201.114
6.9,199.567
6.9,248.487
6.1,58.298
6.8,1244.958
6.8,31.104
7.2,152.128
7.2,119.857
7.2,187.019
7.2,157.309
7.2,159.966
7.2,307.144
7.2,206.166
7.2,271.56
7.2,120.487
7.2,111.604
7.2,271.997
7.2,125.508
7.0,94.447
7.0,48.092
7.0,282.58
7.0,48.853
7.0,288.023
7.0,93.671
7.0,325.961
7.0,268.599
7.0,181.636
7.0,52.81
7.2,60.175
5.7,375.689
7.3,68.679
7.1,150.076
7.1,323.957
7.1,649.787
8.5,10610.392
8.5,820.241
8.5,447.24
8.5,1027.059
8.5,1024.362
8.5,3129.298
8.5,845.606
8.5,887.034
8.5,5558.727
8.5,8887.617
8.5,4352.004
8.5,920.619
8.5,1970.946
8.5,3129.298
8.5,6091.167
8.5,7325.45
8.5,7603.099
8.5,5423.428
8.5,5540.343
8.5,5258.972
8.5,636.903
8.5,763.343
8.5,642.406
