maximum water height (m)
1.73
8.4
0.77
25.24
14.03
6.5
3.04
1.65
0.1
1.08
0.5
3.64
7.75
12.97
0.08
12.0
1.35
9.87
0.04
0.17
9.5
1.01
0.45
2.58
6.53
0.1
1.0
4.0
0.01
2.7
4.83
0.11
19.53
0.08
7.64
0.56
3.11
0.03
2.3
7.75
1.25
1.3
0.8
0.21
1.46
10.25
6.84
0.45
0.11
4.92
1.31
10.7
3.7
5.2
5.25
11.2
0.09
0.22
14.91
0.11
25.39
2.74
3.1
2.36
2.13
0.55
2.55
4.25
14.89
2.4
3.0
0.35
0.12
0.06
0.04
0.17
4.28
17.0
10.67
5.7
6.7
3.4
1.25
0.2
5.82
0.1
0.09
0.05
20.73
2.92
2.49
0.12
14.72
1.3
21.68
0.46
1.8
3.27
5.7
0.05
7.9
7.3
0.07
1.64
1.1
0.26
1.2
0.17
0.99
0.81
6.1
0.04
4.3
2.74
2.9
5.8
0.04
0.07
12.83
0.8
0.0
4.97
0.09
15.3
0.19
14.17
5.78
0.6
0.04
0.18
0.11
0.08
2.5
9.16
1.33
1.7
0.1
0.11
1.62
0.07
1.52
2.3
0.03
10.3
13.5
13.35
2.08
0.06
0.16
11.74
2.14
10.23
24.59
0.09
10.1
0.02
16.35
14.6
2.99
0.5
0.07
6.7
0.09
1.5
7.9
0.4
0.79
2.79
0.03
0.0
3.4
0.03
7.51
0.64
3.1
0.1
2.49
0.05
27.0
19.69
5.16
15.82
1.9
2.5
0.19
2.9
2.98
4.0
7.76
2.2
8.0
8.15
17.0
1.56
6.79
0.12
1.0
0.08
1.5
1.52
4.3
0.01
0.03
2.86
0.09
1.95
22.28
2.51
9.78
9.13
0.15
4.0
2.12
0.16
9.16
0.03
28.61
2.17
3.53
0.1
0.08
3.03
4.1
1.6
6.36
17.44
4.09
15.1
0.04
7.43
1.22
2.3
0.1
1.8
0.29
7.6
1.7
7.99
8.0
13.9
6.8
0.47
19.0
0.05
2.74
4.8
0.16
3.17
1.97
1.27
0.04
3.4
6.0
0.05
4.73
0.2
3.06
1.53
4.95
10.44
21.88
9.49
11.86
5.1
6.25
0.94
0.15
0.37
6.8
8.73
0.05
0.03
0.11
0.15
9.8
3.69
0.12
0.01
10.71
3.7
0.07
2.5
7.9
0.18
0.09
0.04
24.96
0.31
2.7
2.92
0.15
0.04
1.8
0.12
0.33
1.6
3.5
8.0
9.74
4.82
0.08
2.5
0.23
0.17
0.1
0.13
4.21
0.1
0.13
1.18
0.14
2.39
3.3
2.98
6.53
7.33
28.19
0.19
3.28
2.6
0.04
13.57
0.7
0.16
15.51
1.1
0.35
2.93
0.06
4.9
2.2
0.1
6.4
1.3
13.39
0.06
8.2
4.43
6.6
1.5
9.6
0.03
17.12
1.78
16.61
4.19
4.48
14.04
1.4
9.12
0.08
0.9
1.5
3.06
0.95
10.04
5.98
6.76
0.05
3.87
2.0
0.11
0.62
16.22
0.3
8.25
0.13
12.0
7.7
4.7
10.91
0.05
0.01
4.86
0.32
0.0
28.16
0.24
0.09
13.0
9.09
2.6
0.08
0.13
0.06
3.21
14.8
1.99
1.6
0.11
0.1
0.53
0.22
0.74
3.9
7.16
0.05
14.05
3.0
0.65
2.0
4.47
0.4
0.11
0.09
2.13
1.52
10.7
7.28
1.39
1.7
0.22
0.1
4.9
0.18
0.07
0.42
2.93
21.43
0.06
0.27
1.81
1.9
1.51
1.4
2.45
15.69
2.39
0.4
2.39
0.21
0.08
1.11
13.14
0.36
6.11
12.72
0.51
3.21
9.18
1.5
8.11
0.06
0.1
7.41
0.33
1.9
4.36
0.12
4.55
8.2
6.35
0.04
0.17
0.9
4.61
3.09
12.57
0.28
4.4
4.25
8.17
9.2
6.2
2.8
0.02
14.65
22.89
1.63
3.61
4.0
1.86
2.21
0.23
5.81
16.6
1.32
1.8
0.06
3.86
6.54
2.0
2.76
3.9
0.25
2.6
23.1
12.42
0.05
10.62
12.33
12.38
14.3
1.2
12.98
2.14
2.6
8.11
0.22
0.1
4.34
21.37
10.74
23.6
0.18
0.06
0.04
2.1
0.1
0.29
7.62
0.05
4.7
13.43
21.26
0.74
5.88
0.08
9.52
20.89
10.65
0.09
11.55
6.53
0.13
0.21
0.4
2.6
16.63
10.69
0.18
2.5
0.03
0.35
0.57
2.5
2.2
1.85
26.68
3.74
0.78
6.44
0.1
0.11
0.8
21.27
3.0
1.51
0.18
0.02
14.42
0.6
0.06
1.9
1.98
0.03
0.17
0.3
6.0
1.9
4.86
1.5
0.22
3.98
13.25
2.7
0.06
12.18
30.08
9.66
0.06
0.03
0.39
0.5
0.34
0.03
6.1
17.02
3.07
0.74
7.6
0.53
1.62
1.2
0.7
4.23
0.19
0.09
1.21
2.0
9.0
0.93
5.43
0.09
4.09
2.66
1.14
3.64
2.2
0.2
0.07
0.08
16.13
0.01
1.75
0.0
4.0
0.1
0.2
4.27
5.97
5.11
0.1
1.6
19.13
4.4
2.72
6.6
2.1
8.22
0.5
2.85
4.15
4.0
3.49
0.35
0.16
0.23
0.13
14.05
2.7
0.8
12.98
3.5
0.25
3.0
0.14
0.5
26.34
1.0
0.08
1.1
5.25
10.7
0.08
13.64
0.32
0.11
0.5
0.06
0.3
2.4
0.17
3.0
6.28
0.26
1.27
0.48
10.84
0.06
0.34
7.05
3.36
0.21
0.81
13.71
0.1
2.77
0.9
1.29
15.41
0.05
0.1
0.15
0.21
4.5
4.05
2.6
3.0
1.2
10.78
0.1
9.06
17.5
11.72
0.01
4.2
3.69
0.14
2.92
4.31
2.4
6.64
2.0
0.03
1.27
2.58
1.2
3.5
6.37
3.0
6.1
0.1
5.66
0.14
0.1
0.38
4.59
1.48
0.2
0.5
0.0
0.02
0.02
1.34
9.09
0.21
0.05
3.35
0.11
2.1
4.0
0.1
2.6
0.1
0.06
2.2
10.4
3.71
1.0
2.61
5.6
2.39
0.07
1.5
3.43
2.1
2.75
1.81
2.9
3.3
10.2
0.06
16.7
2.09
7.66
8.4
1.18
3.31
23.35
0.12
3.28
14.76
6.74
11.0
0.6
10.6
3.1
1.57
3.37
14.47
0.05
22.2
2.93
0.1
0.14
3.0
9.26
10.0
2.67
5.9
6.9
3.5
0.8
4.0
0.07
2.4
2.6
3.12
11.39
5.89
2.1
31.35
0.08
13.38
1.85
0.04
0.05
5.83
0.5
10.78
2.83
8.51
0.16
0.04
0.1
6.84
0.16
0.1
6.83
0.15
2.8
0.11
4.67
0.66
2.36
2.89
1.43
8.0
14.16
16.01
6.71
3.53
10.53
12.46
0.09
0.11
4.5
3.79
1.73
3.1
2.66
10.73
0.15
0.3
5.62
3.08
0.02
3.73
4.2
1.65
3.51
0.28
0.1
0.04
2.77
0.2
5.63
2.9
10.5
0.02
0.05
0.15
1.8
1.8
0.14
0.02
3.4
0.03
1.8
3.02
4.0
3.05
0.22
2.44
4.65
0.09
1.58
2.0
0.09
0.49
2.0
8.04
3.5
3.51
0.48
2.0
18.7
3.24
0.15
1.7
1.8
3.59
0.04
0.1
13.79
1.8
4.62
0.23
0.19
16.93
1.0
3.3
0.42
0.99
4.6
0.24
1.84
15.0
8.07
2.79
0.35
34.51
4.5
0.8
0.13
5.07
4.86
0.1
8.36
0.07
6.37
6.1
27.0
2.43
0.03
18.8
5.4
18.6
1.29
4.73
2.0
2.98
3.02
0.05
0.29
0.99
2.31
0.02
0.82
14.71
4.85
2.0
11.77
5.07
6.5
13.53
4.72
24.35
25.37
8.2
0.24
3.19
1.76
0.08
4.86
5.16
0.85
0.11
1.3
0.33
5.02
4.93
0.09
13.15
0.4
0.09
1.2
4.71
0.04
1.54
0.25
3.03
2.44
2.26
0.14
1.0
1.7
4.6
0.04
0.05
2.0
0.19
0.04
3.06
18.3
7.65
15.3
16.59
1.25
6.0
20.75
0.11
0.58
0.04
3.0
11.46
14.59
9.04
0.66
0.17
0.8
4.4
0.05
7.5
32.85
5.0
1.93
3.9
2.8
0.98
0.55
13.1
2.1
2.9
4.18
0.22
0.07
14.7
4.2
1.76
20.28
6.0
1.65
0.07
0.15
6.84
3.58
16.5
2.4
2.84
3.0
0.98
5.0
0.12
0.16
6.0
0.41
9.24
0.74
3.6
0.66
2.01
3.5
0.85
0.05
0.1
5.0
1.75
1.97
2.0
3.95
0.13
0.41
0.09
0.8
0.06
0.17
3.0
6.09
1.0
0.22
6.71
14.5
0.03
14.78
11.73
7.26
0.06
0.02
5.1
4.27
1.4
0.1
0.95
3.88
9.1
18.22
4.06
19.03
0.15
3.03
3.99
2.74
1.03
3.04
2.49
3.6
7.57
18.3
2.86
0.08
1.51
3.75
5.0
9.19
0.16
2.0
2.23
3.44
4.86
2.6
0.03
1.1
8.55
5.12
8.45
0.67
4.6
1.54
12.45
2.1
3.06
0.2
0.04
1.82
2.8
6.4
1.2
0.12
7.55
9.44
0.15
3.99
0.78
32.51
10.0
6.0
0.08
2.75
3.01
1.3
11.4
22.52
0.18
4.56
4.55
1.52
13.09
0.26
0.04
0.07
4.72
4.24
6.39
0.11
2.57
1.73
14.2
2.52
0.07
13.46
12.04
0.09
2.31
6.16
0.7
0.68
0.13
3.62
7.0
3.49
2.55
3.7
0.01
0.28
3.74
2.15
0.92
0.11
0.05
4.9
5.52
0.09
4.8
0.04
15.03
0.03
5.0
0.06
0.09
0.07
3.49
0.1
2.28
1.14
10.0
3.37
0.14
0.1
7.75
11.3
2.7
3.97
17.08
8.82
4.68
3.81
0.05
0.38
0.1
2.3
2.03
3.1
4.2
0.5
0.18
9.9
5.14
7.79
0.03
13.0
4.8
0.02
11.9
0.03
0.8
10.42
13.24
0.63
14.64
0.44
1.91
3.39
5.1
0.05
0.11
0.06
0.2
18.22
0.8
3.04
1.85
3.0
0.08
0.02
7.17
0.99
3.0
0.08
30.34
4.77
0.18
0.11
3.0
4.9
3.65
1.5
13.7
4.07
28.03
0.4
1.3
27.33
0.4
2.39
1.9
0.17
6.63
1.0
4.6
0.04
14.8
2.77
2.85
0.03
2.35
0.5
0.03
20.55
1.08
2.0
16.28
3.96
1.55
0.11
0.42
12.0
6.7
0.4
3.8
16.7
0.26
0.2
0.86
9.0
4.1
2.1
0.57
2.18
0.24
8.54
0.32
2.4
4.09
5.1
1.5
11.36
3.3
4.01
1.34
14.65
0.08
1.8
5.08
0.45
0.18
3.1
7.62
0.38
3.24
1.89
1.95
0.27
0.06
8.6
2.0
0.51
0.54
2.68
0.05
0.14
4.31
0.1
11.2
17.61
0.13
2.25
1.8
10.2
17.2
0.17
3.57
0.1
0.03
0.04
0.1
9.81
3.5
0.1
3.16
10.0
9.46
0.04
0.01
4.8
2.61
0.06
10.59
0.14
13.54
7.69
1.5
0.06
6.5
24.84
0.07
3.05
2.73
0.1
0.78
3.25
9.0
3.32
6.44
2.7
7.6
30.39
5.85
1.9
2.91
1.9
9.64
4.0
0.3
2.5
6.8
1.46
6.59
0.5
18.0
0.05
15.9
0.08
24.3
9.2
3.82
3.98
6.3
0.29
6.6
1.3
17.78
0.07
0.03
6.08
0.1
1.5
1.66
0.1
6.44
1.08
1.7
15.43
0.21
0.99
3.5
1.55
1.5
0.06
13.59
2.6
0.03
1.91
0.05
1.27
0.11
19.88
21.56
8.71
0.06
0.4
9.5
1.24
0.07
0.05
2.4
0.03
2.83
0.09
17.21
3.79
4.5
2.7
0.05
0.13
2.88
4.4
0.11
0.1
3.47
6.2
7.47
4.3
0.73
0.53
10.46
2.13
6.38
5.35
2.8
0.6
13.6
1.48
0.95
7.03
0.7
1.8
2.0
3.15
2.33
0.14
0.1
0.01
6.9
6.79
0.1
7.32
0.12
1.59
3.18
3.86
3.0
4.5
10.69
2.37
6.5
0.06
4.13
13.04
14.84
0.9
2.6
8.4
6.97
4.55
9.28
3.5
0.56
3.18
0.16
4.5
0.35
6.96
0.2
6.9
0.05
3.84
3.3
0.24
20.23
19.93
2.79
4.82
1.69
3.28
8.5
14.15
4.76
2.42
7.59
0.02
0.32
0.34
0.05
3.9
1.67
6.99
6.98
13.13
0.28
0.0
4.89
6.18
0.04
1.52
0.43
0.4
3.64
0.44
0.28
0.02
19.5
2.35
4.0
14.45
0.04
4.42
2.32
1.6
1.44
7.4
0.06
10.3
5.13
0.07
1.0
0.12
17.61
15.7
3.55
9.03
0.13
11.2
0.13
0.09
4.08
11.07
9.71
3.19
0.2
4.0
6.69
0.52
3.87
1.6
14.96
0.2
2.74
10.26
0.09
8.1
19.91
0.44
2.92
0.9
4.6
0.67
30.6
9.78
3.3
0.1
0.17
1.4
0.78
2.66
1.33
3.95
3.4
0.6
20.2
0.11
9.9
0.5
3.87
16.62
2.64
1.5
5.98
0.08
2.6
8.0
2.18
3.02
3.71
0.18
12.4
6.2
0.05
2.69
3.7
0.23
19.77
0.05
1.84
11.65
0.9
3.4
5.1
12.19
0.8
3.2
1.33
4.67
10.7
0.2
0.48
0.14
0.0
2.51
8.24
0.13
11.46
0.29
5.01
8.34
0.85
18.4
3.55
0.13
0.91
0.35
2.98
0.09
0.27
4.8
6.73
0.02
0.05
0.06
9.77
5.8
0.15
0.1
4.21
2.4
7.01
18.75
0.2
0.12
0.03
4.53
0.85
0.08
9.95
2.67
4.89
7.34
0.16
0.42
0.47
2.0
6.7
3.19
0.08
6.92
10.8
3.51
1.06
15.02
0.59
16.42
2.88
0.1
0.0
2.1
2.34
0.02
2.5
18.7
0.12
0.6
14.82
15.68
0.18
6.4
0.18
0.09
9.99
0.5
0.14
3.33
3.96
0.1
1.4
8.73
3.2
0.08
2.4
1.75
7.87
11.92
5.2
3.17
